# start pid=21614 os=Version 26.5.2 (Build 25F84)
# maximum-reserved-locales=5
# initial-reserved-locales=
# initial-installed-locales=de_DE,en_US
# initial-sample 2026-08-04T20:25:28.782Z;supported;supported;supported;installedDe=1;reservedDe=0;reservedCount=0;catalogMtime=1785870076;assetDirMtime=1785870226
# event reserve ok already-reserved=true
# post-reserve-reserved-locales=de_DE
2026-08-04T20:25:34.023Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:25:39.319Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:25:44.526Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:25:49.869Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:25:55.011Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:26:00.349Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:26:05.614Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:26:10.835Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:26:16.010Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:26:21.348Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:26:26.531Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:26:31.865Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:26:37.010Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:26:42.352Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:26:47.613Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:26:52.624Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:26:57.913Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:27:03.007Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:27:08.331Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:27:13.561Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:27:18.888Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:27:24.227Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:27:29.436Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:27:34.530Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:27:39.599Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:27:44.933Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:27:50.006Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:27:55.306Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:28:00.532Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:28:05.779Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:28:11.005Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:28:16.339Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:28:21.606Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:28:26.613Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:28:31.617Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:28:36.949Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:28:42.004Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:28:47.341Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:28:52.579Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:28:57.919Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:29:03.005Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:29:08.298Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:29:13.610Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:29:18.926Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:29:24.257Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:29:29.576Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:29:34.806Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:29:40.005Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:29:45.343Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:29:50.488Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:29:55.670Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:30:01.007Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:30:06.346Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:30:11.490Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:30:16.575Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
2026-08-04T20:30:21.613Z;installed;installed;installed;installedDe=1;reservedDe=1;reservedCount=1;catalogMtime=1785870076;assetDirMtime=1785870226
